when,time
3/5/2019 8:42,15
3/5/2019 8:42,15
3/5/2019 8:42,0
3/5/2019 8:42,15
3/5/2019 8:42,15
3/5/2019 8:42,15
3/5/2019 8:42,15
3/5/2019 8:42,15
3/5/2019 8:42,15
3/5/2019 8:43,31
3/5/2019 8:43,15
3/5/2019 8:43,124
3/5/2019 8:43,140
3/5/2019 8:43,46
3/5/2019 8:43,15
3/5/2019 8:43,15
3/5/2019 8:43,31
3/5/2019 8:43,0
3/5/2019 8:44,15
3/5/2019 8:44,78
3/5/2019 8:56,15
3/5/2019 8:56,15
3/5/2019 8:56,0
3/5/2019 8:56,46
3/5/2019 8:56,0
3/5/2019 8:56,0
3/5/2019 9:03,0
3/5/2019 9:03,0
3/5/2019 9:03,15
3/5/2019 9:03,15
3/5/2019 9:03,0
3/5/2019 9:04,31
3/5/2019 9:06,46
3/5/2019 9:06,15
3/5/2019 9:06,0
3/5/2019 9:06,62
3/5/2019 9:06,15
3/5/2019 9:06,78
3/5/2019 9:06,46
3/5/2019 9:07,15
3/5/2019 9:07,62
3/5/2019 9:07,15
3/5/2019 9:07,0
3/5/2019 9:07,15
3/5/2019 9:07,15
3/5/2019 9:07,31
3/5/2019 9:07,62
3/5/2019 9:07,0
3/5/2019 9:07,15
3/5/2019 9:07,15
3/5/2019 9:07,62
3/5/2019 9:08,15
3/5/2019 9:08,31
3/5/2019 9:08,15
3/5/2019 9:08,31
3/5/2019 9:08,15
3/5/2019 9:08,46
3/5/2019 9:08,0
3/5/2019 9:08,0
3/5/2019 9:08,0
3/5/2019 9:08,31
3/5/2019 9:08,15
3/5/2019 9:10,15
3/5/2019 9:10,15
3/5/2019 9:10,15
3/5/2019 9:10,15
3/5/2019 9:10,15
3/5/2019 9:10,0
3/5/2019 9:10,0
3/5/2019 9:10,31
3/5/2019 9:10,31
3/5/2019 9:10,15
3/5/2019 9:10,0
3/5/2019 9:10,62
3/5/2019 9:10,15
3/5/2019 9:10,78
3/5/2019 9:10,31
3/5/2019 9:10,31
3/5/2019 9:11,0
3/5/2019 9:11,0
3/5/2019 9:11,46
3/5/2019 9:11,15
3/5/2019 9:11,15
3/5/2019 9:11,15
3/5/2019 9:11,0
3/5/2019 9:11,15
3/5/2019 9:12,15
3/5/2019 9:12,15
3/5/2019 9:13,31
3/5/2019 9:14,31
3/5/2019 9:14,125
3/5/2019 9:15,15
3/5/2019 9:15,62
3/5/2019 9:16,62
3/5/2019 9:16,46
3/5/2019 9:16,0
3/5/2019 9:16,15
3/5/2019 9:16,62
3/5/2019 9:16,0
3/5/2019 9:17,15
3/5/2019 9:17,31
3/5/2019 9:17,15
3/5/2019 9:17,62
3/5/2019 9:17,31
3/5/2019 9:17,1421
3/5/2019 9:17,109
3/5/2019 9:18,109
3/5/2019 9:18,0
3/5/2019 9:18,15
3/5/2019 9:18,15
3/5/2019 9:18,15
3/5/2019 9:18,15
3/5/2019 9:18,0
3/5/2019 9:18,31
3/5/2019 9:19,484
3/5/2019 9:19,953
3/5/2019 9:19,640
3/5/2019 9:19,15
3/5/2019 9:19,15
3/5/2019 9:19,15
3/5/2019 9:19,0
3/5/2019 9:19,0
3/5/2019 9:19,0
3/5/2019 9:19,15
3/5/2019 9:20,0
3/5/2019 9:20,0
3/5/2019 9:20,0
3/5/2019 9:20,15
3/5/2019 9:20,15
3/5/2019 9:20,15
3/5/2019 9:20,15
3/5/2019 9:20,15
3/5/2019 9:20,0
3/5/2019 9:20,15
3/5/2019 9:20,0
